Date,Avg_Temp,Quality,均質番号
1892/3,0.4,8,1
1892/4,8.8,8,1
1892/5,14.0,8,1
1892/6,18.5,8,1
1892/7,24.2,8,1
1892/8,23.6,8,1
1892/9,21.1,8,1
1892/10,12.2,8,1
1892/11,5.5,8,1
1892/12,-0.9,8,1
1893/1,-2.1,8,1
1893/2,-3.6,8,1
1893/3,1.2,8,1
1893/4,8.4,8,1
1893/5,11.8,8,1
1893/6,16.8,8,1
1893/7,20.1,8,1
1893/8,24.0,8,1
1893/9,18.3,8,1
1893/10,12.7,8,1
1893/11,7.6,8,1
1893/12,0.4,8,1
1894/1,-2.1,8,1
1894/2,-0.9,8,1
1894/3,3.5,8,1
1894/4,10.1,8,1
1894/5,12.6,8,1
1894/6,20.4,8,1
1894/7,24.4,8,1
1894/8,23.8,8,1
1894/9,19.7,8,1
1894/10,11.6,8,1
1894/11,8.5,8,1
1894/12,2.4,8,1
1895/1,-2.9,8,1
1895/2,-1.5,8,1
1895/3,1.5,8,1
1895/4,9.2,8,1
1895/5,14.3,8,1
1895/6,17.3,8,1
1895/7,20.7,8,1
1895/8,24.5,8,1
1895/9,20.0,8,1
1895/10,13.3,8,1
1895/11,6.8,8,1
1895/12,2.4,8,1
1896/1,-0.6,8,1
1896/2,-0.9,8,1
1896/3,0.8,8,1
1896/4,9.8,8,1
1896/5,14.1,8,1
1896/6,19.3,8,1
1896/7,20.9,8,1
1896/8,24.0,8,1
1896/9,18.3,8,1
1896/10,11.8,8,1
1896/11,7.1,8,1
1896/12,-0.2,8,2
1897/1,-1.5,8,2
1897/2,-1.3,8,2
1897/3,1.2,8,2
1897/4,7.1,8,2
1897/5,13.3,8,2
1897/6,17.0,8,2
1897/7,21.1,8,2
1897/8,23.3,8,2
1897/9,18.2,8,2
1897/10,11.7,8,2
1897/11,7.3,8,2
1897/12,-0.8,8,2
1898/1,0.1,8,2
1898/2,0.3,8,2
1898/3,-0.5,8,2
1898/4,8.1,8,2
1898/5,13.1,8,2
1898/6,17.2,8,2
1898/7,22.6,8,2
1898/8,24.6,8,2
1898/9,18.6,8,2
1898/10,11.8,8,2
1898/11,7.1,8,2
1898/12,2.9,8,2
1899/1,-0.7,8,2
1899/2,-0.9,8,2
1899/3,3.2,8,2
1899/4,9.1,8,2
1899/5,15.0,8,2
1899/6,18.8,8,2
1899/7,22.8,8,2
1899/8,23.5,8,2
1899/9,18.1,8,2
1899/10,12.6,8,2
1899/11,6.0,8,2
1899/12,2.2,8,2
1900/1,-3.1,8,2
1900/2,-2.1,8,2
1900/3,0.8,8,2
1900/4,8.1,8,2
1900/5,13.7,8,2
1900/6,17.3,8,2
1900/7,20.5,8,2
1900/8,24.9,8,2
1900/9,19.3,8,2
1900/10,12.8,8,2
1900/11,7.8,8,2
1900/12,1.2,8,2
1901/1,0.1,8,2
1901/2,-0.9,8,2
1901/3,2.2,8,2
1901/4,9.5,8,2
1901/5,13.3,8,2
1901/6,17.9,8,2
1901/7,21.3,8,2
1901/8,23.3,8,2
1901/9,20.0,8,2
1901/10,13.4,8,2
1901/11,7.0,8,2
1901/12,0.9,8,2
1902/1,-2.1,8,2
1902/2,-1.6,8,2
1902/3,3.6,8,2
1902/4,7.2,8,2
1902/5,12.8,8,2
1902/6,17.2,8,2
1902/7,19.5,8,2
1902/8,21.3,8,2
1902/9,20.4,8,2
1902/10,12.8,8,2
1902/11,8.3,8,2
1902/12,4.0,8,2
1903/1,1.8,8,2
1903/2,0.5,8,2
1903/3,4.2,8,2
1903/4,10.5,8,2
1903/5,12.5,8,2
1903/6,17.5,8,2
1903/7,20.4,8,2
1903/8,22.1,8,2
1903/9,20.7,8,2
1903/10,12.3,8,2
1903/11,6.6,8,2
1903/12,-0.2,8,2
1904/1,-2.6,8,2
1904/2,-0.8,8,2
1904/3,2.0,8,2
1904/4,9.5,8,2
