Date,Avg_Temp,Quality,均質番号
1890/8,22.8,8,1
1890/9,19.6,8,1
1890/10,9.2,8,1
1890/11,3.8,8,1
1890/12,0.9,8,1
1891/1,-7.6,8,1
1891/2,-4.9,8,1
1891/3,1.7,8,1
1891/4,5.0,8,1
1891/5,11.7,8,1
1891/6,16.0,8,1
1891/7,18.9,8,1
1891/8,19.1,8,1
1891/9,15.9,8,1
1891/10,9.2,8,1
1891/11,2.9,8,1
1891/12,-2.3,8,1
1892/1,-7.0,8,1
1892/2,-5.9,8,1
1892/3,-3.9,8,1
1892/4,4.8,8,1
1892/5,10.9,8,1
1892/6,15.7,8,1
1892/7,21.3,8,1
1892/8,20.7,8,1
1892/9,18.0,8,1
1892/10,9.0,8,1
1892/11,1.5,8,1
1892/12,-6.3,8,1
1893/1,-7.2,8,1
1893/2,-7.6,8,1
1893/3,-1.5,8,1
1893/4,4.9,8,1
1893/5,8.6,8,1
1893/6,14.7,8,1
1893/7,17.8,8,1
1893/8,20.6,8,1
1893/9,14.5,8,1
1893/10,9.9,8,1
1893/11,3.7,8,1
1893/12,-3.7,8,1
1894/1,-7.0,8,1
1894/2,-4.7,8,1
1894/3,-0.9,8,1
1894/4,6.2,8,1
1894/5,9.4,8,1
1894/6,17.6,8,1
1894/7,20.6,8,1
1894/8,20.5,8,1
1894/9,16.4,8,1
1894/10,8.4,8,1
1894/11,4.1,8,1
1894/12,-3.1,8,1
1895/1,-8.9,8,1
1895/2,-4.9,8,1
1895/3,-3.7,8,1
1895/4,5.1,8,1
1895/5,10.6,8,1
1895/6,13.8,8,1
1895/7,17.2,8,1
1895/8,21.0,8,1
1895/9,16.4,8,1
1895/10,10.4,8,1
1895/11,2.1,8,1
1895/12,-2.4,8,1
1896/1,-5.9,8,1
1896/2,-5.8,8,1
1896/3,-3.3,8,1
1896/4,5.6,8,1
1896/5,12.3,8,1
1896/6,16.3,8,1
1896/7,18.3,8,1
1896/8,21.2,8,1
1896/9,15.7,8,1
1896/10,8.7,8,1
1896/11,3.5,8,1
1896/12,-3.8,8,1
1897/1,-6.4,8,1
1897/2,-5.4,8,1
1897/3,-2.7,8,1
1897/4,3.3,8,1
1897/5,9.8,8,1
1897/6,12.9,8,1
1897/7,18.1,8,1
1897/8,20.2,8,1
1897/9,15.6,8,1
1897/10,8.7,8,1
1897/11,2.8,8,1
1897/12,-6.0,8,1
1898/1,-5.6,8,1
1898/2,-6.0,8,1
1898/3,-5.6,8,1
1898/4,4.8,8,1
1898/5,9.0,8,1
1898/6,14.5,8,1
1898/7,19.4,8,1
1898/8,20.8,8,1
1898/9,14.4,8,1
1898/10,8.5,8,1
1898/11,2.9,8,1
1898/12,-1.8,8,1
1899/1,-4.9,8,1
1899/2,-4.5,8,1
1899/3,-1.5,8,1
1899/4,5.6,8,1
1899/5,11.8,8,1
1899/6,15.3,8,1
1899/7,19.4,8,1
1899/8,19.5,8,1
1899/9,14.8,8,1
1899/10,9.5,8,1
1899/11,2.3,8,1
1899/12,-3.4,8,1
1900/1,-7.6,8,1
1900/2,-7.4,8,1
1900/3,-3.0,8,1
1900/4,4.9,8,1
1900/5,10.7,8,1
1900/6,14.5,8,1
1900/7,17.2,8,1
1900/8,20.9,8,1
1900/9,16.1,8,1
1900/10,10.0,8,1
1900/11,3.8,8,1
1900/12,-3.5,8,1
1901/1,-5.4,8,1
1901/2,-5.3,8,1
1901/3,-1.5,8,1
1901/4,6.9,8,1
1901/5,11.5,8,1
1901/6,14.0,8,1
1901/7,18.2,8,1
1901/8,20.8,8,1
1901/9,15.9,8,1
1901/10,9.6,8,1
1901/11,3.1,8,1
1901/12,-4.8,8,1
1902/1,-7.5,8,1
1902/2,-6.4,8,1
1902/3,-0.6,8,1
1902/4,4.3,8,1
1902/5,9.2,8,1
1902/6,13.1,8,1
1902/7,16.4,8,1
1902/8,17.9,8,1
1902/9,17.3,8,1
1902/10,10.1,8,1
1902/11,3.9,8,1
1902/12,-0.3,8,1
1903/1,-2.7,8,1
1903/2,-4.7,8,1
1903/3,1.1,8,1
1903/4,7.5,8,1
1903/5,9.8,8,1
1903/6,13.8,8,1
1903/7,17.9,8,1
1903/8,19.2,8,1
1903/9,17.0,8,1
1903/10,8.7,8,1
1903/11,1.9,8,1
1903/12,-5.1,8,1
1904/1,-7.6,8,1
1904/2,-3.8,8,1
1904/3,-0.9,8,1
1904/4,6.1,8,1
1904/5,10.8,8,1
1904/6,16.5,8,1
1904/7,19.4,8,1
1904/8,22.0,8,1
1904/9,15.2,8,1
1904/10,9.5,8,1
1904/11,1.5,8,1
1904/12,-2.3,8,1
1905/1,-3.3,8,1
1905/2,-7.1,8,1
1905/3,-2.2,8,1
1905/4,2.9,8,1
1905/5,11.2,8,1
1905/6,15.1,8,1
1905/7,18.6,8,1
1905/8,18.7,8,1
1905/9,16.0,8,1
1905/10,10.0,8,1
1905/11,3.0,8,1
1905/12,-2.1,8,1
1906/1,-7.1,8,1
1906/2,-6.8,8,1
1906/3,-1.2,8,1
1906/4,5.2,8,1
1906/5,11.1,8,1
1906/6,12.9,8,1
1906/7,20.0,8,1
